px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
-0.0484968	2.36498	1.20817	7.7753	0.316954	-0.0419962	2.14199	-0.0282	2.3013	0.1409	0.99	1.4443
0.163183	2.91581	1.32706	7.53455	-0.0330107	0.335	2.9623	0	2.7	0.0157	0.9999	3.16383
0.0682344	3.35421	1.14979	7.85606	0.245562	0.0310733	3.23795	0.011	3.0997	0.0785	0.9969	1.42606
0.101829	3.54392	0.83516	7.85804	0.17579	0.145	3.428	0.0704	3.4949	0.2028	0.9792	2.09515
0.161654	3.90824	1.07968	7.80197	0.0707734	0.174391	3.67667	0.1789	3.8797	0.324	0.9461	1.65116
0.359556	4.2532	1.00365	7.52117	-0.182031	0.4528	4.2254	0.3348	4.2478	0.44	0.898	1.26065
0.640791	4.56764	1.07949	7.22224	-0.349988	0.669454	4.38803	0.5356	4.5934	0.5491	0.8358	1.09295
0.818721	4.8192	0.948627	7.16529	-0.288832	0.7789	4.7913	0.7781	4.9112	0.6495	0.7604	0.333624
1.0864	5.09866	0.98233	7.03069	-0.305457	1.11004	5.16496	1.0585	5.1961	0.7397	0.673	0.0731007
1.31252	5.30845	0.897405	6.96506	-0.261771	1.2863	5.2988	1.3724	5.4436	0.8182	0.575	0.118263
1.63035	5.43615	0.709484	6.64609	-0.473229	1.75141	5.71244	1.7149	5.6497	0.8838	0.4679	2.44995
2.06592	5.78042	1.07824	6.68774	-0.325702	2.1421	5.9278	2.0805	5.8114	0.9355	0.3534	3.68362
2.36627	5.96839	1.01107	6.69652	-0.2206	2.31799	5.98704	2.4635	5.9259	0.9724	0.2334	0.220021
2.66844	6.10512	0.941217	6.65954	-0.184124	2.6508	6.1066	2.8578	5.9915	0.994	0.1097	0.0604573
3.31654	6.14211	1.20645	6.21635	-0.516522	3.75493	6.40869	3.2572	6.0072	0.9999	-0.0157	6.39218
3.58879	5.9019	0.977887	5.8432	-0.637077	3.5095	5.844	3.6555	5.9727	0.99	-0.1409	1.41181
3.93848	5.82677	0.987662	5.66543	-0.667083	4.21296	6.35664	4.0463	5.8886	0.9646	-0.2639	5.34053
4.23617	5.84207	0.796876	5.69454	-0.481864	4.2604	5.9533	4.4234	5.7562	0.9239	-0.3827	1.93487
4.69953	5.67647	1.00559	5.94137	-0.0360418	4.71825	5.46502	4.781	5.5775	0.8686	-0.4955	4.30391
5.09591	5.43354	1.12009	5.81057	-0.11424	5.1023	5.3917	5.1134	5.3554	0.7997	-0.6004	0.303651
5.38211	5.22123	1.01279	5.68699	-0.176597	5.29623	5.19448	5.4153	5.0934	0.7181	-0.6959	0.233151
